13,,,,,,,1,48,,,1,1,1.0
62,,,1,46,1,46,1,45,1,46,1,1,1.0
66,,,1,45,3,42,1,44,1,45,3,1,1.5
1,,,,,1,43,1,35,3,46,3,1,1.6666666666666667
107,,,,,3,42,1,43,1,46,3,1,1.6666666666666667
88,5,45,1,46,1,45,1,46,1,47,5,1,1.8
118,5,45,1,46,1,45,1,47,1,49,5,1,1.8
97,5,44,1,49,1,44,1,45,1,45,5,1,1.8
122,5,41,1,48,1,48,1,47,1,48,5,1,1.8
45,5,46,1,46,1,46,1,49,1,46,5,1,1.8
60,5,47,1,45,1,44,1,43,1,43,5,1,1.8
71,5,45,1,48,1,45,1,45,1,45,5,1,1.8
72,5,45,1,47,1,47,1,46,1,44,5,1,1.8
108,5,48,1,47,1,37,1,46,1,47,5,1,1.8
83,5,44,1,43,1,45,1,45,1,46,5,1,1.8
15,5,44,1,46,,,1,46,1,49,5,1,2.0
128,5,39,1,46,,,1,48,1,49,5,1,2.0
23,5,45,1,44,1,46,,,1,45,5,1,2.0
135,,,,,3,41,1,44,,,3,1,2.0
48,5,45,1,47,,,1,46,1,46,5,1,2.0
70,5,45,,,1,44,1,46,1,47,5,1,2.0
79,5,44,1,41,1,44,1,43,,,5,1,2.0
100,,,1,45,5,43,1,41,1,47,5,1,2.0
132,5,44,1,42,3,45,1,45,1,45,5,1,2.2
133,5,46,1,47,3,46,1,46,1,49,5,1,2.2
140,5,45,1,40,3,46,1,44,1,42,5,1,2.2
49,5,47,1,45,3,42,1,43,1,41,5,1,2.2
76,5,49,1,44,3,45,1,46,1,45,5,1,2.2
101,5,46,1,43,3,43,1,44,1,46,5,1,2.2
85,5,42,3,44,1,45,1,43,1,44,5,1,2.2
89,5,40,1,46,1,47,,,,,5,1,2.3333333333333335
12,5,42,1,30,,,,,1,30,5,1,2.3333333333333335
14,5,47,,,1,49,,,1,46,5,1,2.3333333333333335
19,5,47,1,50,1,48,,,,,5,1,2.3333333333333335
32,5,45,1,49,,,,,1,43,5,1,2.3333333333333335
47,5,47,,,,,1,44,1,47,5,1,2.3333333333333335
3,5,35,1,46,1,47,3,47,,,5,1,2.5
129,,,1,13,3,44,1,24,5,33,5,1,2.5
39,5,44,1,48,1,44,3,44,,,5,1,2.5
40,5,10,1,47,3,31,1,25,,,5,1,2.5
90,5,45,1,45,3,44,3,45,1,45,5,1,2.6
91,5,33,1,47,5,44,1,45,1,46,5,1,2.6
127,5,47,1,44,5,39,1,44,1,45,5,1,2.6
34,5,45,1,47,3,42,3,46,1,46,5,1,2.6
144,5,42,1,46,1,46,5,44,1,44,5,1,2.6
52,5,38,1,45,1,43,5,46,1,44,5,1,2.6
67,5,40,1,44,1,49,5,41,1,48,5,1,2.6
68,5,42,1,48,3,45,3,46,1,47,5,1,2.6
75,5,45,1,46,5,45,1,45,1,44,5,1,2.6
81,5,49,1,47,5,38,1,45,1,44,5,1,2.6
109,5,40,1,42,5,33,1,44,1,44,5,1,2.6
117,5,25,1,44,,,,,,,5,1,3.0
92,5,13,5,49,1,41,,,1,44,5,1,3.0
94,5,35,1,46,5,42,1,44,,,5,1,3.0
99,5,34,,,1,9,,,,,5,1,3.0
2,5,48,1,44,,,,,,,5,1,3.0
125,5,43,1,49,5,36,1,48,,,5,1,3.0
126,5,28,1,44,3,45,,,,,5,1,3.0
5,5,45,1,48,3,46,5,47,1,47,5,1,3.0
20,5,45,,,3,44,,,1,46,5,1,3.0
22,,,1,45,5,37,5,37,1,44,5,1,3.0
26,5,43,1,49,5,32,,,1,47,5,1,3.0
136,5,44,1,46,,,,,,,5,1,3.0
138,5,48,,,,,1,45,3,47,5,1,3.0
35,5,48,,,1,47,,,,,5,1,3.0
37,5,31,1,44,3,34,5,17,1,44,5,1,3.0
41,5,37,1,44,,,,,,,5,1,3.0
42,5,18,1,38,5,40,,,1,43,5,1,3.0
44,5,45,3,45,5,41,1,46,1,45,5,1,3.0
46,5,40,1,43,1,45,5,30,3,46,5,1,3.0
55,5,36,1,45,5,31,3,42,1,46,5,1,3.0
57,5,41,1,46,3,44,5,47,1,44,5,1,3.0
63,5,46,1,44,,,,,,,5,1,3.0
69,5,28,1,47,1,45,5,18,,,5,1,3.0
77,5,33,1,49,3,44,5,45,1,45,5,1,3.0
102,5,47,1,49,,,5,48,1,49,5,1,3.0
105,5,43,1,48,5,35,3,43,1,48,5,1,3.0
106,5,38,1,44,3,44,5,49,1,44,5,1,3.0
80,5,44,5,46,3,45,1,45,1,46,5,1,3.0
111,5,31,1,45,5,41,5,20,1,47,5,1,3.4
93,5,27,5,48,5,47,1,49,1,46,5,1,3.4
16,5,44,1,47,5,42,5,46,1,46,5,1,3.4
6,5,31,1,46,5,48,5,25,1,48,5,1,3.4
8,5,48,1,44,5,43,5,19,1,45,5,1,3.4
24,5,25,5,44,5,44,1,44,1,44,5,1,3.4
130,5,43,3,43,3,34,3,36,3,41,5,3,3.4
141,5,44,1,46,5,29,5,22,1,47,5,1,3.4
53,5,44,1,45,5,45,5,41,1,45,5,1,3.4
115,5,43,1,49,5,44,3,39,,,5,1,3.5
95,5,38,3,43,3,47,3,49,,,5,3,3.5
10,5,45,1,45,3,43,5,25,,,5,1,3.5
17,5,45,1,45,5,45,3,43,,,5,1,3.5
82,5,46,1,46,3,46,5,30,,,5,1,3.5
64,5,9,5,40,,,,,1,40,5,1,3.6666666666666665
112,5,40,1,40,5,41,5,34,3,45,5,1,3.8
4,5,47,1,45,5,41,3,48,5,49,5,1,3.8
7,5,30,3,48,5,44,5,31,1,42,5,1,3.8
28,5,42,3,43,5,44,5,44,1,44,5,1,3.8
87,5,44,3,41,5,44,3,46,3,46,5,3,3.8
119,5,31,1,46,5,32,5,45,,,5,1,4.0
124,5,32,,,5,48,5,33,1,47,5,1,4.0
25,,,3,43,5,35,,,,,5,3,4.0
134,5,42,5,47,5,47,1,46,,,5,1,4.0
33,5,40,,,5,41,5,30,1,47,5,1,4.0
142,5,44,3,45,,,,,,,5,3,4.0
56,5,37,,,5,40,5,41,1,45,5,1,4.0
61,5,44,1,48,5,45,5,43,,,5,1,4.0
74,5,42,3,44,3,43,,,5,45,5,3,4.0
86,,,,,3,44,5,43,,,5,3,4.0
96,5,41,5,46,5,41,1,41,5,44,5,1,4.2
18,5,33,5,44,5,43,5,31,1,44,5,1,4.2
29,5,30,3,46,5,44,5,45,3,46,5,3,4.2
31,5,35,5,34,5,37,5,24,1,48,5,1,4.2
143,5,41,1,44,5,40,5,26,5,45,5,1,4.2
50,5,10,3,13,5,21,3,30,5,32,5,3,4.2
103,5,33,3,47,5,24,5,36,3,46,5,3,4.2
113,,,5,41,3,45,5,12,,,5,3,4.333333333333333
21,5,46,,,5,44,3,46,,,5,3,4.333333333333333
27,5,44,3,44,,,5,43,,,5,3,4.333333333333333
51,5,12,3,32,,,5,36,,,5,3,4.333333333333333
123,5,36,3,42,5,29,5,45,,,5,3,4.5
58,5,33,,,5,27,5,46,3,46,5,3,4.5
114,5,42,5,44,5,36,5,31,3,44,5,3,4.6
120,5,14,5,30,5,29,5,17,3,43,5,3,4.6
110,5,25,5,42,5,28,5,19,,,5,5,5.0
116,5,45,,,,,,,,,5,5,5.0
11,5,11,5,37,5,17,5,15,5,40,5,5,5.0
137,5,20,5,42,5,43,,,,,5,5,5.0
139,5,49,,,,,,,,,5,5,5.0
30,5,5,5,16,5,26,5,25,5,3,5,5,5.0
36,5,35,,,5,35,5,42,,,5,5,5.0
43,5,26,,,,,,,,,5,5,5.0
59,5,32,,,,,5,25,,,5,5,5.0
65,5,44,5,28,5,42,5,46,5,49,5,5,5.0
78,,,,,,,5,35,,,5,5,5.0
104,5,23,,,,,5,30,5,35,5,5,5.0
84,5,22,,,,,,,,,5,5,5.0
,5,5,5,5,5
,5,1,1,1,1
,5.000000,1.892857,3.446429,3.054545,1.666667
